origin HR,index to HR
100.0,100.0
101.0,100.84033613445378
103.0,102.56410256410257
103.0,102.56410256410257
100.0,100.0
95.0,95.23809523809524
98.0,98.36065573770492
98.0,98.36065573770492
97.0,96.7741935483871
94.0,93.75
97.0,96.7741935483871
99.0,99.17355371900827
99.0,99.17355371900827
97.0,96.7741935483871
98.0,97.5609756097561
97.0,96.7741935483871
107.0,107.14285714285714
103.0,102.56410256410257
102.0,101.69491525423729
103.0,103.44827586206897
103.0,103.44827586206897
102.0,101.69491525423729
99.0,99.17355371900827
96.0,96.0
99.0,99.17355371900827
101.0,100.84033613445378
95.0,95.23809523809524
103.0,102.56410256410257
100.0,100.0
102.0,101.69491525423729
102.0,101.69491525423729
101.0,100.84033613445378
102.0,101.69491525423729
103.0,102.56410256410257
112.0,112.14953271028037
94.0,94.48818897637796
99.0,99.17355371900827
101.0,100.84033613445378
103.0,103.44827586206897
103.0,102.56410256410257
103.0,102.56410256410257
101.0,100.84033613445378
104.0,104.34782608695652
100.0,100.0
109.0,109.0909090909091
103.0,102.56410256410257
100.0,100.0
103.0,102.56410256410257
104.0,104.34782608695652
103.0,102.56410256410257
101.0,100.84033613445378
100.0,100.0
103.0,102.56410256410257
103.0,103.44827586206897
103.0,102.56410256410257
101.0,100.84033613445378
109.0,109.0909090909091
101.0,100.84033613445378
105.0,105.26315789473684
105.0,105.26315789473684
104.0,104.34782608695652
105.0,105.26315789473684
106.0,106.19469026548673
102.0,101.69491525423729
100.0,100.0
99.0,99.17355371900827
101.0,100.84033613445378
95.0,95.23809523809524
103.0,103.44827586206897
98.0,98.36065573770492
98.0,98.36065573770492
108.0,108.10810810810811
103.0,103.44827586206897
105.0,105.26315789473684
107.0,107.14285714285714
104.0,104.34782608695652
113.0,113.20754716981132
107.0,107.14285714285714
104.0,104.34782608695652
103.0,103.44827586206897
102.0,101.69491525423729
94.0,93.75
90.0,90.22556390977444
96.0,96.0
93.0,93.02325581395348
98.0,98.36065573770492
94.0,93.75
98.0,97.5609756097561
102.0,101.69491525423729
103.0,103.44827586206897
103.0,102.56410256410257
103.0,103.44827586206897
110.0,110.09174311926606
100.0,100.0
103.0,102.56410256410257
98.0,98.36065573770492
97.0,96.7741935483871
96.0,96.0
94.0,94.48818897637796
98.0,97.5609756097561
99.0,99.17355371900827
102.0,101.69491525423729
105.0,105.26315789473684
104.0,104.34782608695652
111.0,111.11111111111111
100.0,100.0
106.0,106.19469026548673
107.0,107.14285714285714
107.0,107.14285714285714
105.0,105.26315789473684
104.0,104.34782608695652
103.0,103.44827586206897
103.0,103.44827586206897
104.0,104.34782608695652
113.0,113.20754716981132
100.0,100.0
104.0,104.34782608695652
101.0,100.84033613445378
111.0,111.11111111111111
107.0,107.14285714285714
105.0,105.26315789473684
104.0,104.34782608695652
111.0,111.11111111111111
99.0,99.17355371900827
106.0,106.19469026548673
103.0,103.44827586206897
103.0,102.56410256410257
105.0,105.26315789473684
106.0,106.19469026548673
106.0,106.19469026548673
112.0,112.14953271028037
102.0,101.69491525423729
108.0,108.10810810810811
110.0,110.09174311926606
111.0,111.11111111111111
120.0,120.0
103.0,102.56410256410257
105.0,105.26315789473684
117.0,116.50485436893204
110.0,110.09174311926606
108.0,108.10810810810811
110.0,110.09174311926606
112.0,112.14953271028037
113.0,113.20754716981132
111.0,111.11111111111111
111.0,111.11111111111111
112.0,112.14953271028037
109.0,109.0909090909091
108.0,108.10810810810811
109.0,109.0909090909091
104.0,104.34782608695652
118.0,117.6470588235294
109.0,109.0909090909091
110.0,110.09174311926606
110.0,110.09174311926606
111.0,111.11111111111111
111.0,111.11111111111111
106.0,106.19469026548673
104.0,104.34782608695652
105.0,105.26315789473684
99.0,99.17355371900827
108.0,108.10810810810811
102.0,101.69491525423729
112.0,112.14953271028037
97.0,96.7741935483871
104.0,104.34782608695652
106.0,106.19469026548673
107.0,107.14285714285714
110.0,110.09174311926606
111.0,111.11111111111111
114.0,114.28571428571429
109.0,109.0909090909091
125.0,125.0
112.0,112.14953271028037
