baseline,stage1,stage2,stage3,stage4,recovery,stage5
64.4,66.3,91.2,94.5,71.1,74.7,43.9
84.3,80.5,71.1,45.8,37.2,50.3,72.9
61.9,74.8,45.4,76.4,79.7,53.9,51.7
50.9,41.8,51.8,69.3,41.7,55.2,61.4
83.5,44.3,92.5,81.1,87.9,58.9,36.9
71.0,71.9,71.6,60.0,49.1,38.0,48.6
59.6,77.9,65.0,63.5,95.3,54.5,55.2
77.2,68.3,37.7,67.3,73.2,67.1,25.6
70.4,63.1,36.1,56.9,66.6,17.9,51.0
95.9,70.6,73.0,52.0,49.5,58.2,52.0
53.0,49.2,60.2,51.6,54.8,65.4,35.3
90.8,64.7,68.6,82.0,49.3,80.9,66.7
52.6,58.7,71.4,47.4,58.8,68.5,44.8
44.1,81.0,29.8,69.3,59.7,63.3,58.8
57.8,71.3,68.9,61.9,49.4,53.5,41.8
87.8,52.7,57.5,57.2,65.7,72.6,39.0
46.4,73.4,60.3,62.4,47.4,148.0,48.9
82.9,80.6,92.3,64.4,64.7,47.0,62.4
86.0,70.5,56.5,64.9,82.5,107.0,61.3
78.5,66.0,43.0,76.4,31.4,91.6,35.7
65.5,76.6,57.8,85.3,25.6,40.1,44.1
104.0,95.6,48.4,82.8,40.6,42.6,51.5
70.6,58.0,45.7,69.9,37.5,70.1,57.6
59.5,43.2,43.2,86.4,75.9,74.7,41.9
66.6,85.8,64.1,80.8,62.2,47.3,31.7
56.4,65.6,71.5,59.8,70.1,85.1,77.5
68.8,65.2,55.8,74.5,45.6,105.0,49.1
76.3,50.2,67.1,64.1,54.5,59.3,34.3
68.5,70.0,58.8,67.3,60.2,68.5,54.1
73.5,46.8,81.9,68.8,57.1,64.8,43.9
78.6,80.8,36.6,79.0,57.7,62.3,28.2
62.9,71.5,34.7,88.1,69.5,58.6,48.2
75.8,69.5,92.2,56.8,74.1,44.9,51.5
76.3,75.7,21.8,81.8,71.2,40.4,69.4
63.9,50.1,68.3,84.4,69.9,36.9,55.4
58.6,60.4,83.3,41.3,67.2,57.0,72.5
86.9,80.5,65.3,72.6,69.0,53.3,46.3
51.5,69.0,108.0,72.7,65.6,39.6,62.3
72.9,62.2,61.3,78.5,39.1,48.6,53.9
75.5,64.8,41.5,74.0,51.5,39.9,81.1
65.4,78.8,42.9,53.4,58.0,49.7,49.3
59.3,75.7,68.1,61.9,44.3,59.1,48.7
64.9,58.9,85.8,85.6,53.9,22.9,47.4
49.3,47.5,92.2,74.5,46.3,37.5,39.3
80.0,57.0,59.6,62.2,61.4,43.3,56.0
81.5,76.8,52.1,45.8,74.3,58.3,73.4
85.4,39.2,61.2,93.1,68.8,71.7,50.6
81.4,67.3,79.9,72.0,65.5,76.1,56.5
35.9,59.5,59.9,85.9,67.8,60.1,55.9
72.6,79.5,89.4,73.9,42.2,59.3,37.8
72.4,85.0,74.6,79.7,44.6,53.4,56.8
76.9,51.7,68.8,61.6,67.4,63.5,59.7
83.8,53.2,85.4,72.1,51.8,62.3,65.0
66.2,77.3,69.9,65.9,68.0,51.6,73.2
53.4,47.1,69.7,51.0,51.9,70.6,71.1
48.5,76.3,91.0,48.4,61.9,54.2,65.7
85.8,34.5,55.2,69.8,52.5,50.1,49.8
95.1,113.0,89.0,51.5,53.2,43.2,51.2
78.8,73.8,59.5,50.1,67.6,65.5,40.5
48.0,66.8,46.5,81.9,64.8,43.1,58.7
43.7,69.5,62.3,62.6,65.0,66.8,37.4
73.2,57.0,73.8,47.4,39.6,40.2,60.1
85.5,76.6,44.9,66.3,63.9,65.9,37.8
59.2,98.4,93.8,72.3,94.0,70.8,59.6
72.0,76.9,41.8,79.2,74.7,55.2,53.5
75.9,68.2,75.0,42.9,77.9,29.4,42.4
77.9,100.0,86.2,70.1,78.1,63.1,35.7
74.7,60.1,62.3,73.0,60.0,49.9,64.9
74.7,70.3,73.6,51.0,56.4,53.2,31.0
74.7,73.7,75.6,65.5,72.1,54.8,45.5
74.7,55.9,61.1,59.3,50.9,42.7,54.9
74.7,43.4,69.6,80.0,73.7,65.1,55.8
74.7,89.2,95.8,100.0,55.1,50.1,69.0
74.7,68.5,55.4,49.0,66.3,76.5,67.4
74.7,51.2,72.3,42.3,44.6,45.0,42.9
74.7,85.3,50.7,78.1,49.7,39.8,74.3
74.7,62.1,76.2,96.0,55.8,59.5,56.9
74.7,84.9,72.8,56.6,81.3,70.3,46.6
74.7,41.6,50.1,60.9,60.1,49.6,70.0
74.7,80.2,65.5,68.7,47.8,61.4,36.5
74.7,47.8,57.1,61.6,51.2,20.4,53.2
74.7,71.4,77.0,90.0,71.5,54.7,28.8
74.7,62.4,51.9,76.9,82.2,58.5,56.7
74.7,82.0,43.4,89.0,23.8,59.0,52.7
74.7,87.3,45.7,53.8,82.8,56.6,62.7
74.7,44.8,44.9,72.1,54.2,60.9,47.3
74.7,43.1,58.4,61.8,17.7,75.9,42.1
71.4,67.4,96.8,55.6,55.8,77.8,56.4
63.1,102.0,104.0,71.5,84.6,57.0,48.0
64.3,57.9,56.1,58.0,59.5,63.7,60.9
78.5,42.6,66.5,75.3,71.3,49.5,28.9
63.7,78.1,64.6,68.1,56.1,58.3,21.4
