origin HR,index to HR
90.0,89.55223880597015
92.0,92.3076923076923
92.0,92.3076923076923
86.0,86.33093525179856
86.0,85.71428571428571
89.0,88.88888888888889
93.0,93.02325581395348
90.0,89.55223880597015
84.0,83.91608391608392
96.0,96.0
94.0,93.75
100.0,100.0
90.0,89.55223880597015
93.0,93.02325581395348
101.0,100.84033613445378
94.0,93.75
98.0,98.36065573770492
103.0,103.44827586206897
90.0,90.22556390977444
96.0,96.0
104.0,104.34782608695652
88.0,87.5912408759124
90.0,90.22556390977444
87.0,86.95652173913044
85.0,85.1063829787234
98.0,98.36065573770492
92.0,92.3076923076923
88.0,88.23529411764706
96.0,96.0
94.0,94.48818897637796
99.0,99.17355371900827
91.0,90.9090909090909
93.0,93.02325581395348
102.0,101.69491525423729
94.0,94.48818897637796
99.0,99.17355371900827
92.0,91.6030534351145
98.0,98.36065573770492
94.0,94.48818897637796
92.0,91.6030534351145
94.0,94.48818897637796
88.0,87.5912408759124
94.0,94.48818897637796
88.0,87.5912408759124
97.0,96.7741935483871
104.0,104.34782608695652
88.0,88.23529411764706
94.0,94.48818897637796
102.0,101.69491525423729
95.0,95.23809523809524
94.0,94.48818897637796
99.0,99.17355371900827
92.0,92.3076923076923
99.0,99.17355371900827
95.0,95.23809523809524
103.0,102.56410256410257
95.0,95.23809523809524
94.0,93.75
103.0,103.44827586206897
93.0,93.02325581395348
91.0,90.9090909090909
86.0,86.33093525179856
94.0,93.75
88.0,88.23529411764706
92.0,91.6030534351145
92.0,91.6030534351145
92.0,91.6030534351145
102.0,101.69491525423729
94.0,93.75
90.0,90.22556390977444
100.0,100.0
98.0,97.5609756097561
92.0,91.6030534351145
100.0,100.0
94.0,93.75
92.0,92.3076923076923
98.0,97.5609756097561
91.0,90.9090909090909
85.0,84.50704225352112
94.0,93.75
86.0,85.71428571428571
90.0,89.55223880597015
100.0,100.0
94.0,93.75
90.0,90.22556390977444
100.0,100.0
95.0,95.23809523809524
93.0,93.02325581395348
105.0,105.26315789473684
98.0,98.36065573770492
94.0,93.75
100.0,100.0
93.0,93.02325581395348
91.0,90.9090909090909
96.0,96.0
85.0,85.1063829787234
93.0,93.02325581395348
89.0,88.88888888888889
95.0,95.23809523809524
99.0,99.17355371900827
90.0,89.55223880597015
94.0,94.48818897637796
100.0,100.0
93.0,93.02325581395348
99.0,99.17355371900827
104.0,104.34782608695652
92.0,92.3076923076923
93.0,93.02325581395348
95.0,95.23809523809524
88.0,88.23529411764706
86.0,86.33093525179856
82.0,81.63265306122449
89.0,88.88888888888889
94.0,94.48818897637796
95.0,95.23809523809524
98.0,98.36065573770492
90.0,89.55223880597015
96.0,96.0
100.0,100.0
98.0,97.5609756097561
102.0,101.69491525423729
87.0,86.95652173913044
96.0,96.0
97.0,96.7741935483871
82.0,82.1917808219178
82.0,82.1917808219178
83.0,83.33333333333333
97.0,96.7741935483871
88.0,88.23529411764706
91.0,90.9090909090909
97.0,96.7741935483871
94.0,93.75
100.0,100.0
93.0,93.02325581395348
103.0,102.56410256410257
99.0,99.17355371900827
91.0,90.9090909090909
91.0,90.9090909090909
80.0,80.0
86.0,86.33093525179856
88.0,87.5912408759124
98.0,97.5609756097561
90.0,90.22556390977444
90.0,89.55223880597015
103.0,102.56410256410257
99.0,99.17355371900827
93.0,93.02325581395348
103.0,102.56410256410257
96.0,96.0
91.0,90.9090909090909
103.0,102.56410256410257
100.0,100.0
100.0,100.0
98.0,97.5609756097561
105.0,105.26315789473684
90.0,89.55223880597015
95.0,95.23809523809524
103.0,103.44827586206897
93.0,93.02325581395348
100.0,100.0
105.0,105.26315789473684
97.0,96.7741935483871
100.0,100.0
107.0,107.14285714285714
97.0,96.7741935483871
101.0,100.84033613445378
103.0,103.44827586206897
104.0,104.34782608695652
108.0,108.10810810810811
94.0,93.75
99.0,99.17355371900827
104.0,104.34782608695652
92.0,92.3076923076923
90.0,90.22556390977444
91.0,90.9090909090909
98.0,97.5609756097561
103.0,103.44827586206897
110.0,110.09174311926606
99.0,99.17355371900827
102.0,101.69491525423729
94.0,94.48818897637796
108.0,108.10810810810811
101.0,100.84033613445378
96.0,96.0
105.0,105.26315789473684
110.0,110.09174311926606
94.0,94.48818897637796
98.0,97.5609756097561
97.0,96.7741935483871
93.0,93.02325581395348
93.0,93.02325581395348
93.0,93.02325581395348
88.0,87.5912408759124
96.0,96.0
98.0,97.5609756097561
90.0,89.55223880597015
97.0,96.7741935483871
104.0,104.34782608695652
89.0,88.88888888888889
95.0,95.23809523809524
104.0,104.34782608695652
90.0,89.55223880597015
98.0,98.36065573770492
104.0,104.34782608695652
91.0,90.9090909090909
87.0,86.95652173913044
81.0,81.08108108108108
86.0,86.33093525179856
88.0,88.23529411764706
87.0,86.95652173913044
88.0,87.5912408759124
88.0,88.23529411764706
92.0,91.6030534351145
92.0,91.6030534351145
