origin HR,index to HR
79.0,79.47019867549669
164.0,164.3835616438356
162.0,162.16216216216216
164.0,164.3835616438356
55.0,54.794520547945204
164.0,164.3835616438356
55.0,54.54545454545455
55.0,54.54545454545455
164.0,164.3835616438356
164.0,164.3835616438356
174.0,173.91304347826087
154.0,153.84615384615384
162.0,162.16216216216216
162.0,162.16216216216216
164.0,164.3835616438356
162.0,162.16216216216216
160.0,160.0
164.0,164.3835616438356
160.0,160.0
162.0,162.16216216216216
160.0,160.0
160.0,160.0
55.0,54.54545454545455
148.0,148.14814814814815
79.0,79.47019867549669
158.0,157.89473684210526
171.0,171.42857142857142
156.0,155.84415584415584
158.0,157.89473684210526
52.0,52.17391304347826
160.0,160.0
160.0,160.0
158.0,157.89473684210526
158.0,157.89473684210526
158.0,157.89473684210526
171.0,171.42857142857142
158.0,157.89473684210526
32.0,31.83023872679045
160.0,160.0
158.0,157.89473684210526
160.0,160.0
148.0,148.14814814814815
79.0,79.47019867549669
158.0,157.89473684210526
154.0,153.84615384615384
156.0,155.84415584415584
79.0,78.94736842105263
145.0,144.57831325301206
150.0,150.0
152.0,151.8987341772152
162.0,162.16216216216216
152.0,151.8987341772152
143.0,142.85714285714286
152.0,151.8987341772152
152.0,151.8987341772152
152.0,151.8987341772152
152.0,151.8987341772152
19.0,19.292604501607716
154.0,153.84615384615384
50.0,49.79253112033195
150.0,150.0
152.0,151.8987341772152
152.0,151.8987341772152
150.0,150.0
150.0,150.0
162.0,162.16216216216216
148.0,148.14814814814815
150.0,150.0
148.0,148.14814814814815
140.0,139.53488372093022
158.0,157.89473684210526
138.0,137.93103448275863
145.0,144.57831325301206
156.0,155.84415584415584
143.0,142.85714285714286
70.0,69.76744186046511
143.0,142.85714285714286
146.0,146.34146341463415
145.0,144.57831325301206
148.0,148.14814814814815
143.0,142.85714285714286
75.0,75.47169811320755
138.0,137.93103448275863
146.0,146.34146341463415
148.0,148.14814814814815
146.0,146.34146341463415
154.0,153.84615384615384
146.0,146.34146341463415
145.0,144.57831325301206
146.0,146.34146341463415
146.0,146.34146341463415
138.0,137.93103448275863
158.0,157.89473684210526
146.0,146.34146341463415
148.0,148.14814814814815
140.0,139.53488372093022
148.0,148.14814814814815
148.0,148.14814814814815
148.0,148.14814814814815
146.0,146.34146341463415
146.0,146.34146341463415
145.0,144.57831325301206
146.0,146.34146341463415
146.0,146.34146341463415
145.0,144.57831325301206
145.0,144.57831325301206
146.0,146.34146341463415
148.0,148.14814814814815
145.0,144.57831325301206
146.0,146.34146341463415
145.0,144.57831325301206
145.0,144.57831325301206
145.0,144.57831325301206
143.0,142.85714285714286
143.0,142.85714285714286
145.0,144.57831325301206
145.0,144.57831325301206
145.0,144.57831325301206
152.0,151.8987341772152
143.0,142.85714285714286
141.0,141.1764705882353
141.0,141.1764705882353
133.0,133.33333333333334
141.0,141.1764705882353
141.0,141.1764705882353
141.0,141.1764705882353
141.0,141.1764705882353
140.0,139.53488372093022
150.0,150.0
140.0,139.53488372093022
141.0,141.1764705882353
140.0,139.53488372093022
141.0,141.1764705882353
140.0,139.53488372093022
141.0,141.1764705882353
130.0,130.43478260869566
141.0,141.1764705882353
141.0,141.1764705882353
140.0,139.53488372093022
140.0,139.53488372093022
148.0,148.14814814814815
141.0,141.1764705882353
138.0,137.93103448275863
140.0,139.53488372093022
138.0,137.93103448275863
140.0,139.53488372093022
138.0,137.93103448275863
138.0,137.93103448275863
138.0,137.93103448275863
138.0,137.93103448275863
136.0,136.36363636363637
138.0,137.93103448275863
136.0,136.36363636363637
136.0,136.36363636363637
138.0,137.93103448275863
138.0,137.93103448275863
129.0,129.03225806451613
138.0,137.93103448275863
138.0,137.93103448275863
136.0,136.36363636363637
135.0,134.8314606741573
138.0,137.93103448275863
136.0,136.36363636363637
133.0,133.33333333333334
136.0,136.36363636363637
143.0,142.85714285714286
135.0,134.8314606741573
135.0,134.8314606741573
136.0,136.36363636363637
136.0,136.36363636363637
136.0,136.36363636363637
138.0,137.93103448275863
136.0,136.36363636363637
138.0,137.93103448275863
136.0,136.36363636363637
136.0,136.36363636363637
136.0,136.36363636363637
136.0,136.36363636363637
128.0,127.65957446808511
133.0,133.33333333333334
135.0,134.8314606741573
141.0,141.1764705882353
132.0,131.86813186813185
132.0,131.86813186813185
133.0,133.33333333333334
135.0,134.8314606741573
135.0,134.8314606741573
135.0,134.8314606741573
128.0,127.65957446808511
136.0,136.36363636363637
136.0,136.36363636363637
135.0,134.8314606741573
143.0,142.85714285714286
126.0,126.3157894736842
143.0,142.85714285714286
133.0,133.33333333333334
133.0,133.33333333333334
133.0,133.33333333333334
130.0,130.43478260869566
132.0,131.86813186813185
130.0,130.43478260869566
130.0,130.43478260869566
130.0,130.43478260869566
130.0,130.43478260869566
130.0,130.43478260869566
129.0,129.03225806451613
130.0,130.43478260869566
130.0,130.43478260869566
132.0,131.86813186813185
130.0,130.43478260869566
133.0,133.33333333333334
125.0,125.0
135.0,134.8314606741573
141.0,141.1764705882353
133.0,133.33333333333334
133.0,133.33333333333334
133.0,133.33333333333334
132.0,131.86813186813185
133.0,133.33333333333334
130.0,130.43478260869566
130.0,130.43478260869566
129.0,129.03225806451613
129.0,129.03225806451613
128.0,127.65957446808511
128.0,127.65957446808511
129.0,129.03225806451613
130.0,130.43478260869566
130.0,130.43478260869566
129.0,129.03225806451613
132.0,131.86813186813185
130.0,130.43478260869566
132.0,131.86813186813185
132.0,131.86813186813185
130.0,130.43478260869566
129.0,129.03225806451613
129.0,129.03225806451613
129.0,129.03225806451613
122.0,122.44897959183673
136.0,136.36363636363637
