,CW,HT
baseline,83.77084522736217,85.91066556648002
stage1,84.89906006769996,86.3194173377071
stage2,86.13726866374802,86.4899221303893
stage3,86.59062920016972,87.26906569679957
stage4,87.80944907678406,88.49841518816046
recovery,89.49580162808871,91.18016136091444
stage5,-1.0,88.76199924349491
