baseline,stage1,stage2,stage3,stage4,recovery,stage5
94.0,106.0,104.0,115.0,138.0,148.0,174.0
95.0,99.0,113.0,117.0,136.0,150.0,174.0
98.0,104.0,100.0,117.0,136.0,152.0,174.0
90.0,98.0,104.0,119.0,138.0,154.0,174.0
96.0,103.0,101.0,118.0,135.0,152.0,176.0
100.0,98.0,111.0,124.0,136.0,154.0,174.0
98.0,94.0,107.0,115.0,136.0,152.0,176.0
102.0,97.0,105.0,115.0,136.0,152.0,174.0
87.0,105.0,104.0,119.0,136.0,152.0,174.0
96.0,93.0,111.0,107.0,136.0,150.0,176.0
97.0,97.0,99.0,120.0,136.0,150.0,176.0
82.0,97.0,106.0,125.0,138.0,148.0,176.0
82.0,101.0,103.0,118.0,130.0,150.0,174.0
83.0,102.0,103.0,113.0,146.0,148.0,176.0
97.0,107.0,105.0,115.0,140.0,150.0,174.0
88.0,95.0,106.0,114.0,140.0,150.0,176.0
91.0,103.0,106.0,121.0,141.0,150.0,176.0
97.0,104.0,112.0,112.0,140.0,148.0,176.0
94.0,103.0,102.0,113.0,140.0,150.0,176.0
100.0,105.0,108.0,103.0,141.0,150.0,176.0
93.0,93.0,110.0,130.0,140.0,150.0,174.0
103.0,98.0,111.0,108.0,140.0,148.0,176.0
99.0,104.0,120.0,114.0,140.0,150.0,176.0
91.0,90.0,103.0,115.0,140.0,150.0,176.0
91.0,90.0,105.0,114.0,140.0,148.0,176.0
80.0,92.0,117.0,115.0,140.0,150.0,176.0
86.0,103.0,110.0,114.0,141.0,150.0,176.0
88.0,100.0,108.0,111.0,140.0,148.0,176.0
98.0,104.0,110.0,109.0,141.0,148.0,176.0
90.0,97.0,112.0,109.0,143.0,148.0,176.0
90.0,103.0,113.0,110.0,141.0,148.0,179.0
103.0,111.0,111.0,111.0,141.0,146.0,176.0
99.0,98.0,111.0,110.0,143.0,146.0,174.0
93.0,102.0,112.0,111.0,141.0,146.0,176.0
103.0,99.0,109.0,112.0,141.0,146.0,179.0
96.0,101.0,108.0,112.0,143.0,148.0,176.0
91.0,94.0,109.0,113.0,141.0,146.0,176.0
103.0,97.0,104.0,112.0,141.0,146.0,174.0
100.0,92.0,118.0,113.0,141.0,146.0,179.0
100.0,97.0,109.0,119.0,141.0,146.0,176.0
98.0,104.0,110.0,107.0,141.0,145.0,176.0
105.0,96.0,110.0,120.0,143.0,145.0,176.0
90.0,111.0,111.0,107.0,143.0,146.0,176.0
95.0,102.0,111.0,113.0,143.0,145.0,176.0
103.0,106.0,106.0,112.0,141.0,145.0,179.0
93.0,108.0,104.0,111.0,140.0,143.0,176.0
100.0,106.0,105.0,111.0,143.0,146.0,176.0
105.0,100.0,99.0,112.0,141.0,145.0,179.0
