origin HR,index to HR
96.0,96.0
104.0,104.34782608695652
109.0,109.0909090909091
105.0,105.26315789473684
100.0,100.0
95.0,95.23809523809524
108.0,108.10810810810811
104.0,104.34782608695652
107.0,107.14285714285714
100.0,100.0
94.0,93.75
98.0,98.36065573770492
99.0,99.17355371900827
94.0,94.48818897637796
101.0,100.84033613445378
99.0,99.17355371900827
102.0,101.69491525423729
92.0,92.3076923076923
94.0,94.48818897637796
98.0,98.36065573770492
96.0,96.0
90.0,90.22556390977444
98.0,97.5609756097561
97.0,96.7741935483871
93.0,93.02325581395348
102.0,101.69491525423729
96.0,96.0
103.0,103.44827586206897
94.0,93.75
97.0,96.7741935483871
93.0,93.02325581395348
98.0,98.36065573770492
92.0,91.6030534351145
98.0,97.5609756097561
94.0,94.48818897637796
94.0,93.75
101.0,100.84033613445378
96.0,96.0
98.0,98.36065573770492
95.0,95.23809523809524
100.0,100.0
94.0,94.48818897637796
92.0,92.3076923076923
91.0,90.9090909090909
101.0,100.84033613445378
48.0,47.61904761904762
102.0,101.69491525423729
135.0,134.8314606741573
83.0,83.33333333333333
90.0,90.22556390977444
103.0,103.44827586206897
100.0,100.0
103.0,103.44827586206897
95.0,95.23809523809524
96.0,96.0
100.0,100.0
92.0,91.6030534351145
92.0,91.6030534351145
92.0,91.6030534351145
90.0,90.22556390977444
47.0,46.875
91.0,90.9090909090909
47.0,47.05882352941177
100.0,100.0
96.0,96.0
34.0,34.18803418803419
98.0,97.5609756097561
102.0,101.69491525423729
98.0,98.36065573770492
98.0,97.5609756097561
102.0,101.69491525423729
94.0,93.75
94.0,94.48818897637796
99.0,99.17355371900827
92.0,91.6030534351145
86.0,85.71428571428571
98.0,97.5609756097561
94.0,94.48818897637796
98.0,97.5609756097561
92.0,92.3076923076923
49.0,48.582995951417004
110.0,110.09174311926606
92.0,92.3076923076923
105.0,105.26315789473684
97.0,96.7741935483871
97.0,96.7741935483871
103.0,102.56410256410257
98.0,98.36065573770492
97.0,96.7741935483871
101.0,100.84033613445378
106.0,106.19469026548673
103.0,102.56410256410257
104.0,104.34782608695652
103.0,102.56410256410257
109.0,109.0909090909091
103.0,102.56410256410257
103.0,103.44827586206897
103.0,103.44827586206897
98.0,98.36065573770492
105.0,105.26315789473684
104.0,104.34782608695652
99.0,99.17355371900827
101.0,100.84033613445378
95.0,95.23809523809524
107.0,107.14285714285714
102.0,101.69491525423729
107.0,107.14285714285714
98.0,98.36065573770492
98.0,97.5609756097561
107.0,107.14285714285714
104.0,104.34782608695652
112.0,112.14953271028037
103.0,103.44827586206897
103.0,103.44827586206897
111.0,111.11111111111111
121.0,121.21212121212122
103.0,103.44827586206897
105.0,105.26315789473684
109.0,109.0909090909091
103.0,103.44827586206897
102.0,101.69491525423729
112.0,112.14953271028037
107.0,107.14285714285714
110.0,110.09174311926606
113.0,113.20754716981132
122.0,122.44897959183673
104.0,104.34782608695652
107.0,107.14285714285714
132.0,131.86813186813185
101.0,100.84033613445378
113.0,113.20754716981132
114.0,114.28571428571429
107.0,107.14285714285714
109.0,109.0909090909091
103.0,103.44827586206897
115.0,115.38461538461539
97.0,96.7741935483871
104.0,104.34782608695652
104.0,104.34782608695652
97.0,96.7741935483871
102.0,101.69491525423729
100.0,100.0
105.0,105.26315789473684
98.0,98.36065573770492
97.0,96.7741935483871
108.0,108.10810810810811
104.0,104.34782608695652
104.0,104.34782608695652
102.0,101.69491525423729
52.0,51.502145922746784
107.0,107.14285714285714
110.0,110.09174311926606
97.0,96.7741935483871
86.0,85.71428571428571
124.0,123.71134020618557
96.0,96.0
104.0,104.34782608695652
98.0,98.36065573770492
95.0,95.23809523809524
105.0,105.26315789473684
140.0,139.53488372093022
88.0,88.23529411764706
98.0,98.36065573770492
93.0,93.02325581395348
120.0,120.0
114.0,114.28571428571429
112.0,112.14953271028037
57.0,57.41626794258373
56.0,56.33802816901409
103.0,103.44827586206897
106.0,106.19469026548673
103.0,103.44827586206897
107.0,107.14285714285714
113.0,113.20754716981132
105.0,105.26315789473684
100.0,100.0
103.0,103.44827586206897
53.0,52.863436123348016
108.0,108.10810810810811
97.0,96.7741935483871
99.0,99.17355371900827
105.0,105.26315789473684
101.0,100.84033613445378
111.0,111.11111111111111
98.0,98.36065573770492
111.0,111.11111111111111
111.0,111.11111111111111
120.0,120.0
100.0,100.0
98.0,98.36065573770492
109.0,109.0909090909091
103.0,103.44827586206897
104.0,104.34782608695652
94.0,93.75
104.0,104.34782608695652
100.0,100.0
100.0,100.0
106.0,106.19469026548673
102.0,101.69491525423729
103.0,103.44827586206897
113.0,113.20754716981132
109.0,109.0909090909091
110.0,110.09174311926606
110.0,110.09174311926606
115.0,115.38461538461539
111.0,111.11111111111111
92.0,91.6030534351145
111.0,111.11111111111111
106.0,106.19469026548673
98.0,98.36065573770492
98.0,98.36065573770492
106.0,106.19469026548673
103.0,103.44827586206897
103.0,102.56410256410257
98.0,98.36065573770492
108.0,108.10810810810811
104.0,104.34782608695652
105.0,105.26315789473684
96.0,96.0
100.0,100.0
107.0,107.14285714285714
103.0,103.44827586206897
109.0,109.0909090909091
109.0,109.0909090909091
94.0,93.75
109.0,109.0909090909091
53.0,53.097345132743364
108.0,108.10810810810811
100.0,100.0
111.0,111.11111111111111
107.0,107.14285714285714
107.0,107.14285714285714
104.0,104.34782608695652
89.0,88.88888888888889
122.0,122.44897959183673
110.0,110.09174311926606
103.0,103.44827586206897
101.0,100.84033613445378
100.0,100.0
109.0,109.0909090909091
105.0,105.26315789473684
114.0,114.28571428571429
47.0,47.24409448818898
130.0,130.43478260869566
110.0,110.09174311926606
108.0,108.10810810810811
113.0,113.20754716981132
110.0,110.09174311926606
101.0,100.84033613445378
98.0,97.5609756097561
107.0,107.14285714285714
105.0,105.26315789473684
109.0,109.0909090909091
103.0,102.56410256410257
98.0,97.5609756097561
108.0,108.10810810810811
104.0,104.34782608695652
108.0,108.10810810810811
99.0,99.17355371900827
104.0,104.34782608695652
103.0,103.44827586206897
129.0,129.03225806451613
94.0,93.75
104.0,104.34782608695652
104.0,104.34782608695652
117.0,116.50485436893204
111.0,111.11111111111111
113.0,113.20754716981132
112.0,112.14953271028037
112.0,112.14953271028037
108.0,108.10810810810811
88.0,88.23529411764706
145.0,144.57831325301206
104.0,104.34782608695652
112.0,112.14953271028037
105.0,105.26315789473684
105.0,105.26315789473684
108.0,108.10810810810811
103.0,102.56410256410257
109.0,109.0909090909091
102.0,101.69491525423729
110.0,110.09174311926606
106.0,106.19469026548673
104.0,104.34782608695652
102.0,101.69491525423729
97.0,96.7741935483871
111.0,111.11111111111111
105.0,105.26315789473684
111.0,111.11111111111111
58.0,58.25242718446602
50.0,50.0
104.0,104.34782608695652
111.0,111.11111111111111
108.0,108.10810810810811
