,SV,RRI
baseline,0.8423782344279579,1.761490327990054
recovery,1.5267931472143659,0.4756626149326725
stage1,0.8978792334759497,0.8477594675388196
stage2,1.6350573256564758,1.179521879008127
stage3,0.985220664313992,0.7018782722610165
stage4,0.6795920749459978,0.4262803451536663
