,SV,RRI
baseline,1.2098407942290637,4.305492597516444
recovery,0.8539282630625946,17.228387901310644
stage1,1.0581900323480247,3.787538244421405
stage2,1.066429367082921,8.539482786856608
stage3,0.7949965993870295,2.3499217107264694
stage4,2.711260353052908,0.40418681590064676
stage5,0.6861932448717352,0.6443214201303729
