,CW,HT
baseline,91.276583732877,91.04155210850652
recovery,95.73747171482198,95.6428648920446
stage1,91.2533800362105,91.15478043304387
stage2,91.28412013109319,91.07806469081844
stage3,91.2052540003412,91.07974089711766
stage4,91.12656536391572,91.07294016542778
stage5,-1.0,91.07027993669848
