baseline,stage1,stage2,stage3,stage4,recovery
65.5,68.3,54.5,67.4,34.8,47.5
59.1,66.3,70.0,72.2,55.4,57.4
72.7,53.5,67.0,57.6,62.4,41.4
83.3,42.7,40.9,59.3,28.1,112.0
78.5,38.4,87.7,18.6,22.2,46.0
39.8,61.9,73.7,46.8,25.8,50.3
88.6,79.8,59.6,75.9,48.8,47.7
8.99,52.2,89.1,68.1,72.5,68.9
13.1,61.4,18.6,52.3,38.7,46.3
73.2,48.8,74.1,65.5,25.5,56.3
38.5,52.2,69.2,70.3,59.7,38.0
72.5,65.6,83.8,68.8,14.1,57.8
57.9,45.2,54.5,61.4,52.1,52.6
35.4,28.4,48.4,42.8,58.1,60.9
56.3,49.3,38.4,69.8,37.2,35.8
49.6,118.0,44.9,39.9,56.6,70.3
48.4,25.2,56.2,51.5,39.0,47.1
71.0,35.0,74.3,46.7,48.5,43.1
35.9,79.0,57.9,43.8,58.2,68.8
55.6,138.0,82.2,74.8,65.0,58.7
71.3,28.7,49.7,40.7,49.8,61.0
83.9,73.2,30.8,44.3,67.9,68.6
70.7,52.4,78.3,77.2,49.9,74.3
33.3,85.4,21.4,19.5,40.1,77.7
68.2,52.8,63.9,63.5,56.4,73.5
50.8,86.2,49.7,89.4,53.8,55.2
38.0,70.9,60.8,37.7,52.3,60.8
73.9,28.6,48.5,34.3,34.7,73.4
60.4,55.3,61.8,30.1,77.7,64.0
23.4,15.7,48.3,74.4,35.7,61.1
64.1,37.2,68.7,39.8,40.6,53.0
50.8,60.3,78.6,43.9,72.2,56.9
40.0,24.2,47.8,48.0,53.1,54.7
45.6,86.0,70.9,43.0,62.8,69.6
106.0,89.4,75.8,69.2,50.6,48.2
56.2,59.8,16.2,54.4,52.6,40.6
59.4,55.6,68.0,62.5,37.3,53.7
54.5,20.9,28.2,59.2,66.1,77.7
55.9,52.0,65.1,71.3,59.3,47.6
23.2,44.3,78.1,46.4,43.6,49.0
51.9,72.8,44.9,23.9,43.2,35.6
45.5,66.9,42.5,48.1,52.4,59.4
26.4,31.4,46.5,31.0,85.0,48.7
73.1,45.9,53.5,41.4,40.3,52.0
41.4,16.6,72.6,80.3,54.0,61.0
59.1,64.6,70.1,41.5,53.8,43.3
87.0,33.4,65.2,48.0,38.7,68.7
78.2,69.7,32.5,47.2,65.2,40.7
48.5,35.8,23.1,42.6,41.7,44.3
31.7,33.5,52.9,36.5,52.0,42.0
57.2,53.5,56.7,46.4,65.7,46.8
49.8,14.0,53.0,58.0,68.3,47.9
71.1,20.7,74.5,16.9,27.7,66.4
94.5,31.8,75.8,44.5,24.1,50.1
54.4,47.2,74.5,42.9,47.9,43.3
55.5,20.2,59.1,54.9,42.4,59.3
54.0,82.7,40.8,40.1,29.1,51.0
82.7,45.4,95.9,39.4,37.1,50.2
61.7,59.9,71.7,47.0,44.1,44.6
55.7,66.4,80.1,54.5,45.1,45.1
42.1,59.9,74.4,64.2,16.1,51.4
30.4,30.9,49.7,54.5,23.0,50.2
51.3,84.0,72.7,39.3,40.9,54.7
60.5,71.5,41.7,49.9,40.8,53.5
50.5,50.9,60.4,38.5,55.4,52.4
89.9,76.2,42.0,56.3,10.0,44.6
67.9,38.0,49.7,46.9,53.2,48.6
40.5,80.4,46.4,37.3,32.5,52.5
56.8,228.0,181.0,48.5,53.1,53.4
71.9,57.4,80.1,36.2,42.3,59.6
57.0,54.6,66.2,38.2,32.6,39.1
49.4,54.3,65.9,54.5,52.1,49.5
85.3,64.2,43.5,51.3,55.4,49.7
49.1,9.59,119.0,91.5,56.0,37.2
47.2,85.0,47.7,32.5,40.0,32.0
49.8,60.2,58.2,37.4,53.8,32.2
75.4,74.8,93.7,49.5,28.8,29.9
39.8,55.8,53.5,70.7,47.2,46.0
67.9,55.7,85.0,47.9,44.4,45.7
77.7,19.8,75.0,75.8,75.2,48.6
43.7,97.6,73.9,60.5,44.6,50.8
64.9,51.7,38.7,48.5,39.6,47.8
32.6,94.6,77.7,53.8,37.9,48.3
50.4,58.7,48.1,34.2,59.7,57.9
96.7,39.7,58.3,37.5,57.6,55.0
40.6,66.2,95.1,68.5,58.0,64.7
54.6,55.7,28.1,59.6,42.6,64.5
37.7,75.2,72.0,50.9,53.7,25.8
49.7,31.6,46.9,36.1,49.8,37.0
61.6,44.7,56.5,31.6,56.9,47.6
71.3,72.7,51.4,65.0,52.8,53.6
14.2,55.9,70.5,89.0,49.2,29.1
28.3,82.6,36.7,71.6,46.7,60.9
29.9,46.8,74.1,28.9,84.5,69.0
66.1,74.0,29.4,52.9,16.8,113.0
22.1,44.9,69.7,51.4,78.5,58.4
27.1,78.7,61.8,58.2,32.4,41.3
84.9,20.9,9.18,48.5,35.3,43.7
31.2,95.3,38.2,57.0,14.5,55.5
65.9,21.4,75.6,69.3,87.1,45.6
51.8,21.3,78.6,52.8,24.7,45.2
58.0,43.8,62.9,47.4,18.9,43.7
69.4,30.1,95.7,36.3,62.2,61.7
58.4,80.4,55.0,67.2,53.0,59.8
49.6,34.4,36.1,44.8,50.3,27.7
53.4,44.7,76.5,72.8,35.8,56.7
81.0,66.3,69.1,65.1,28.0,47.1
17.6,57.5,69.6,43.5,60.8,52.5
15.7,47.6,65.0,68.9,59.3,33.6
67.8,63.3,47.5,81.8,30.9,56.8
13.3,68.2,50.9,35.7,54.4,48.2
52.2,66.8,44.4,58.4,60.3,35.3
73.4,14.1,94.7,45.0,46.1,49.9
26.3,30.9,69.8,64.7,13.7,52.8
66.6,70.8,70.0,70.8,16.9,43.4
