baseline,stage1,stage2,stage3,stage4,recovery
99.0,107.0,114.0,133.0,154.0,141.0
90.0,109.0,110.0,135.0,179.0,140.0
94.0,103.0,59.0,141.0,167.0,141.0
47.0,115.0,120.0,129.0,164.0,130.0
90.0,97.0,122.0,128.0,167.0,141.0
83.0,104.0,111.0,145.0,164.0,141.0
111.0,104.0,125.0,126.0,167.0,140.0
93.0,97.0,113.0,146.0,167.0,140.0
101.0,102.0,113.0,128.0,164.0,148.0
47.0,100.0,125.0,145.0,167.0,141.0
100.0,105.0,111.0,130.0,154.0,138.0
94.0,98.0,125.0,145.0,167.0,140.0
85.0,97.0,110.0,130.0,164.0,138.0
101.0,108.0,125.0,146.0,179.0,140.0
97.0,104.0,109.0,136.0,164.0,138.0
93.0,104.0,115.0,141.0,167.0,138.0
90.0,102.0,124.0,126.0,164.0,138.0
91.0,52.0,113.0,154.0,167.0,138.0
92.0,107.0,117.0,140.0,167.0,136.0
91.0,110.0,117.0,132.0,154.0,138.0
81.0,97.0,115.0,140.0,164.0,136.0
95.0,86.0,59.0,136.0,167.0,136.0
91.0,124.0,119.0,146.0,167.0,138.0
86.0,96.0,117.0,130.0,167.0,138.0
92.0,104.0,119.0,146.0,164.0,129.0
92.0,98.0,119.0,132.0,169.0,138.0
141.0,95.0,121.0,146.0,167.0,138.0
64.0,105.0,60.0,146.0,179.0,136.0
93.0,140.0,117.0,133.0,158.0,135.0
101.0,88.0,124.0,136.0,179.0,138.0
90.0,98.0,60.0,145.0,158.0,136.0
90.0,93.0,112.0,140.0,167.0,133.0
93.0,120.0,61.0,140.0,179.0,136.0
94.0,114.0,94.0,141.0,167.0,143.0
92.0,112.0,143.0,135.0,167.0,135.0
94.0,57.0,111.0,148.0,158.0,135.0
88.0,56.0,118.0,133.0,167.0,136.0
88.0,103.0,119.0,152.0,179.0,136.0
85.0,106.0,119.0,135.0,169.0,136.0
85.0,103.0,119.0,150.0,167.0,138.0
91.0,107.0,125.0,152.0,158.0,136.0
88.0,113.0,126.0,133.0,167.0,138.0
90.0,105.0,115.0,148.0,169.0,136.0
98.0,100.0,120.0,143.0,167.0,136.0
92.0,103.0,119.0,143.0,169.0,136.0
94.0,53.0,121.0,143.0,182.0,136.0
93.0,108.0,60.0,136.0,169.0,128.0
94.0,97.0,119.0,143.0,169.0,133.0
98.0,99.0,141.0,154.0,167.0,135.0
89.0,105.0,96.0,135.0,169.0,141.0
83.0,101.0,132.0,152.0,169.0,132.0
90.0,111.0,125.0,152.0,156.0,132.0
73.0,98.0,113.0,136.0,169.0,133.0
103.0,111.0,60.0,138.0,169.0,135.0
83.0,111.0,113.0,148.0,169.0,135.0
98.0,120.0,126.0,145.0,182.0,135.0
89.0,100.0,114.0,143.0,169.0,128.0
89.0,98.0,141.0,143.0,167.0,136.0
89.0,109.0,106.0,152.0,158.0,136.0
90.0,103.0,141.0,136.0,169.0,135.0
94.0,104.0,105.0,152.0,182.0,143.0
98.0,94.0,126.0,136.0,169.0,126.0
90.0,104.0,117.0,152.0,158.0,143.0
86.0,100.0,126.0,138.0,169.0,133.0
90.0,100.0,125.0,150.0,167.0,133.0
86.0,106.0,120.0,138.0,185.0,133.0
93.0,102.0,125.0,145.0,169.0,130.0
93.0,103.0,122.0,145.0,158.0,132.0
89.0,113.0,122.0,145.0,182.0,130.0
94.0,109.0,120.0,136.0,171.0,130.0
89.0,110.0,129.0,146.0,169.0,130.0
92.0,110.0,111.0,143.0,169.0,130.0
98.0,115.0,130.0,154.0,171.0,130.0
90.0,111.0,114.0,135.0,169.0,129.0
90.0,92.0,115.0,156.0,171.0,130.0
98.0,111.0,114.0,152.0,158.0,130.0
95.0,106.0,114.0,138.0,174.0,132.0
94.0,98.0,120.0,145.0,171.0,130.0
98.0,98.0,109.0,145.0,182.0,133.0
98.0,106.0,95.0,70.0,160.0,125.0
93.0,103.0,128.0,154.0,171.0,135.0
103.0,103.0,121.0,135.0,188.0,141.0
100.0,98.0,108.0,152.0,160.0,133.0
84.0,108.0,112.0,154.0,171.0,133.0
113.0,104.0,108.0,136.0,169.0,133.0
96.0,105.0,118.0,143.0,176.0,132.0
90.0,96.0,108.0,143.0,185.0,133.0
100.0,100.0,118.0,143.0,160.0,130.0
93.0,107.0,96.0,145.0,190.0,130.0
89.0,103.0,130.0,143.0,171.0,129.0
95.0,109.0,125.0,135.0,174.0,129.0
185.0,109.0,111.0,152.0,171.0,128.0
188.0,94.0,114.0,71.0,174.0,128.0
98.0,109.0,113.0,150.0,160.0,129.0
97.0,53.0,119.0,136.0,174.0,130.0
97.0,108.0,122.0,145.0,171.0,130.0
92.0,100.0,111.0,143.0,171.0,129.0
101.0,111.0,88.0,135.0,174.0,132.0
98.0,107.0,194.0,154.0,190.0,130.0
80.0,107.0,102.0,146.0,171.0,132.0
119.0,104.0,119.0,145.0,174.0,132.0
98.0,89.0,111.0,145.0,171.0,130.0
102.0,122.0,112.0,135.0,174.0,129.0
90.0,110.0,113.0,152.0,162.0,129.0
88.0,103.0,120.0,136.0,171.0,129.0
88.0,101.0,107.0,150.0,174.0,122.0
92.0,100.0,109.0,143.0,188.0,136.0
88.0,109.0,133.0,146.0,171.0,128.0
92.0,105.0,102.0,143.0,174.0,128.0
92.0,114.0,115.0,143.0,162.0,126.0
96.0,47.0,128.0,71.0,174.0,126.0
90.0,130.0,57.0,145.0,171.0,126.0
98.0,110.0,117.0,141.0,174.0,126.0
94.0,108.0,113.0,143.0,190.0,126.0
82.0,113.0,110.0,133.0,174.0,126.0
120.0,110.0,122.0,71.0,162.0,128.0
129.0,101.0,110.0,150.0,190.0,128.0
62.0,98.0,122.0,136.0,174.0,129.0
111.0,107.0,110.0,150.0,164.0,128.0
93.0,105.0,117.0,132.0,188.0,128.0
79.0,109.0,128.0,152.0,174.0,128.0
121.0,103.0,115.0,143.0,164.0,128.0
99.0,98.0,119.0,143.0,174.0,128.0
106.0,108.0,121.0,143.0,174.0,126.0
96.0,104.0,121.0,145.0,188.0,126.0
93.0,108.0,61.0,145.0,164.0,126.0
104.0,99.0,124.0,135.0,176.0,125.0
99.0,104.0,122.0,76.0,188.0,125.0
93.0,103.0,62.0,136.0,176.0,126.0
100.0,129.0,120.0,135.0,162.0,119.0
45.0,94.0,129.0,150.0,174.0,126.0
118.0,104.0,122.0,141.0,190.0,125.0
92.0,104.0,126.0,141.0,174.0,133.0
87.0,117.0,129.0,135.0,162.0,125.0
106.0,111.0,63.0,148.0,174.0,125.0
94.0,113.0,114.0,133.0,188.0,126.0
106.0,112.0,112.0,145.0,174.0,124.0
