origin HR,index to HR
121.0,121.21212121212122
121.0,121.21212121212122
114.0,114.28571428571429
129.0,129.03225806451613
126.0,126.3157894736842
115.0,115.38461538461539
129.0,129.03225806451613
113.0,113.20754716981132
115.0,115.38461538461539
128.0,127.65957446808511
113.0,113.20754716981132
121.0,121.21212121212122
132.0,131.86813186813185
118.0,117.6470588235294
121.0,121.21212121212122
121.0,121.21212121212122
122.0,122.44897959183673
120.0,120.0
126.0,126.3157894736842
130.0,130.43478260869566
119.0,118.81188118811882
133.0,133.33333333333334
120.0,120.0
135.0,134.8314606741573
120.0,120.0
122.0,122.44897959183673
136.0,136.36363636363637
125.0,125.0
135.0,134.8314606741573
138.0,137.93103448275863
124.0,123.71134020618557
138.0,137.93103448275863
125.0,125.0
136.0,136.36363636363637
125.0,125.0
136.0,136.36363636363637
124.0,123.71134020618557
138.0,137.93103448275863
124.0,123.71134020618557
136.0,136.36363636363637
65.0,64.51612903225806
122.0,122.44897959183673
135.0,134.8314606741573
122.0,122.44897959183673
130.0,130.43478260869566
126.0,126.3157894736842
130.0,130.43478260869566
129.0,129.03225806451613
125.0,125.0
135.0,134.8314606741573
129.0,129.03225806451613
129.0,129.03225806451613
119.0,118.81188118811882
140.0,139.53488372093022
119.0,118.81188118811882
138.0,137.93103448275863
129.0,129.03225806451613
126.0,126.3157894736842
126.0,126.3157894736842
126.0,126.3157894736842
126.0,126.3157894736842
128.0,127.65957446808511
126.0,126.3157894736842
133.0,133.33333333333334
119.0,118.81188118811882
141.0,141.1764705882353
119.0,118.81188118811882
129.0,129.03225806451613
128.0,127.65957446808511
130.0,130.43478260869566
136.0,136.36363636363637
121.0,121.21212121212122
136.0,136.36363636363637
133.0,133.33333333333334
124.0,123.71134020618557
120.0,120.0
135.0,134.8314606741573
120.0,120.0
135.0,134.8314606741573
120.0,120.0
156.0,155.84415584415584
108.0,108.10810810810811
136.0,136.36363636363637
122.0,122.44897959183673
136.0,136.36363636363637
121.0,121.21212121212122
138.0,137.93103448275863
135.0,134.8314606741573
125.0,125.0
124.0,123.71134020618557
138.0,137.93103448275863
122.0,122.44897959183673
136.0,136.36363636363637
122.0,122.44897959183673
138.0,137.93103448275863
124.0,123.71134020618557
138.0,137.93103448275863
121.0,121.21212121212122
136.0,136.36363636363637
122.0,122.44897959183673
138.0,137.93103448275863
136.0,136.36363636363637
122.0,122.44897959183673
124.0,123.71134020618557
135.0,134.8314606741573
122.0,122.44897959183673
136.0,136.36363636363637
122.0,122.44897959183673
136.0,136.36363636363637
121.0,121.21212121212122
138.0,137.93103448275863
136.0,136.36363636363637
122.0,122.44897959183673
138.0,137.93103448275863
118.0,117.6470588235294
145.0,144.57831325301206
124.0,123.71134020618557
138.0,137.93103448275863
125.0,125.0
140.0,139.53488372093022
125.0,125.0
138.0,137.93103448275863
125.0,125.0
140.0,139.53488372093022
126.0,126.3157894736842
130.0,130.43478260869566
135.0,134.8314606741573
124.0,123.71134020618557
145.0,144.57831325301206
133.0,133.33333333333334
133.0,133.33333333333334
135.0,134.8314606741573
133.0,133.33333333333334
135.0,134.8314606741573
141.0,141.1764705882353
129.0,129.03225806451613
128.0,127.65957446808511
145.0,144.57831325301206
126.0,126.3157894736842
146.0,146.34146341463415
128.0,127.65957446808511
145.0,144.57831325301206
130.0,130.43478260869566
145.0,144.57831325301206
130.0,130.43478260869566
146.0,146.34146341463415
136.0,136.36363636363637
141.0,141.1764705882353
126.0,126.3157894736842
154.0,153.84615384615384
140.0,139.53488372093022
132.0,131.86813186813185
140.0,139.53488372093022
136.0,136.36363636363637
146.0,146.34146341463415
130.0,130.43478260869566
146.0,146.34146341463415
132.0,131.86813186813185
146.0,146.34146341463415
146.0,146.34146341463415
133.0,133.33333333333334
136.0,136.36363636363637
145.0,144.57831325301206
140.0,139.53488372093022
140.0,139.53488372093022
141.0,141.1764705882353
135.0,134.8314606741573
148.0,148.14814814814815
133.0,133.33333333333334
152.0,151.8987341772152
135.0,134.8314606741573
150.0,150.0
152.0,151.8987341772152
133.0,133.33333333333334
148.0,148.14814814814815
143.0,142.85714285714286
143.0,142.85714285714286
143.0,142.85714285714286
136.0,136.36363636363637
143.0,142.85714285714286
154.0,153.84615384615384
135.0,134.8314606741573
152.0,151.8987341772152
152.0,151.8987341772152
136.0,136.36363636363637
138.0,137.93103448275863
148.0,148.14814814814815
145.0,144.57831325301206
143.0,142.85714285714286
143.0,142.85714285714286
152.0,151.8987341772152
136.0,136.36363636363637
152.0,151.8987341772152
136.0,136.36363636363637
152.0,151.8987341772152
138.0,137.93103448275863
150.0,150.0
138.0,137.93103448275863
145.0,144.57831325301206
145.0,144.57831325301206
145.0,144.57831325301206
136.0,136.36363636363637
146.0,146.34146341463415
143.0,142.85714285714286
154.0,153.84615384615384
135.0,134.8314606741573
156.0,155.84415584415584
152.0,151.8987341772152
138.0,137.93103448275863
145.0,144.57831325301206
145.0,144.57831325301206
70.0,70.17543859649123
154.0,153.84615384615384
135.0,134.8314606741573
